group,meancong1,menincong,reactiontime,falsincong,falsecong,totalfalse
3,2.538529131,3.72525919,3.131894161,14,11,25
3,3.324049345,2.720844321,3.022446833,14,6,20
3,2.935993786,3.217287,3.076640393,7,3,10
3,2.935993786,3.106175964,3.021084875,7,3,10
3,3.642825262,3.475638964,3.559232113,9,9,18
3,3.21018,3.551734,3.380957,16,9,25
3,3.218593619,3.404758917,3.311676268,15,1,16
3,3.432451,2.983279,3.207865,14,11,25
3,3.526897321,2.676543036,3.101720179,14,0,14
3,2.659721821,3.690155702,3.174938762,14,11,25
3,3.537243226,3.877838512,3.707540869,15,10,25
3,3.218594,3.404759,3.3116765,15,0,15
